"Sr.No","Device No","Device Type","String Id","Date Time","Set value of current(Amps)","Current R","Current Y","Current B","Voltage R","Voltage Y","Voltage B","PF R","PF Y","PF B","KW R","KW Y","KW B","KWH","KVA R","KVA Y","KVA B","KVAH","Current Usage(Hrs)","Emergency Status","Mode","Door Status","Voltage Status","Load Status","MCB Status","Lamp Status","Lamp On Time","Lamp Off Time","I/P","Battery Mode On Time","Battery Mode Off Time"
"#{rowIndex+1}","DIM 00012","Single Phase","043","2017-03-27 17:21:10.0","","0.0","","","236.85","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","042","2017-03-27 17:21:03.0","","0.0","","","239.42","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","041","2017-03-27 17:20:56.0","","0.0","","","238.07","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","040","2017-03-27 17:20:49.0","","0.0","","","239.51","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","039","2017-03-27 17:20:42.0","","0.0","","","238.63","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","038","2017-03-27 17:20:35.0","","0.0","","","238.63","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","037","2017-03-27 17:20:27.0","","0.0","","","238.95","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","036","2017-03-27 17:20:20.0","","0.0","","","240.73","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","035","2017-03-27 17:20:13.0","","0.0","","","240.18","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","034","2017-03-27 17:20:06.0","","0.0","","","241.32","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","033","2017-03-27 17:19:59.0","","0.0","","","239.65","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","032","2017-03-27 17:19:52.0","","0.0","","","241.23","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","031","2017-03-27 17:19:44.0","","0.0","","","241.67","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","030","2017-03-27 17:19:37.0","","0.0","","","241.81","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","029","2017-03-27 17:19:30.0","","0.0","","","239.48","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","028","2017-03-27 17:19:23.0","","0.0","","","241.67","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","027","2017-03-27 17:19:16.0","","0.0","","","240.06","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","026","2017-03-27 17:19:09.0","","0.0","","","239.01","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","025","2017-03-27 17:19:01.0","","0.0","","","240.35","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","024","2017-03-27 17:18:54.0","","0.0","","","240.29","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","023","2017-03-27 17:18:47.0","","0.0","","","238.72","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","022","2017-03-27 17:18:40.0","","0.0","","","238.54","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","021","2017-03-27 17:18:33.0","","0.0","","","238.37","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","020","2017-03-27 17:18:26.0","","0.0","","","238.07","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","019","2017-03-27 17:18:18.0","","0.0","","","240.0","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","018","2017-03-27 17:18:11.0","","0.0","","","241.35","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","017","2017-03-27 17:18:04.0","","0.0","","","241.14","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","016","2017-03-27 17:17:57.0","","0.0","","","240.0","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","015","2017-03-27 17:17:50.0","","0.0","","","240.06","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","014","2017-03-27 17:17:43.0","","0.0","","","241.03","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","013","2017-03-27 17:17:35.0","","0.0","","","239.59","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","012","2017-03-27 17:17:28.0","","0.0","","","238.66","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","011","2017-03-27 17:17:21.0","","0.0","","","238.22","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","010","2017-03-27 17:17:14.0","","0.0","","","238.63","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","009","2017-03-27 17:17:07.0","","0.0","","","240.53","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","008","2017-03-27 17:17:00.0","","0.0","","","241.17","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","007","2017-03-27 17:16:52.0","","0.0","","","240.44","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","006","2017-03-27 17:16:45.0","","0.0","","","240.94","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","005","2017-03-27 17:16:38.0","","0.0","","","241.14","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","004","2017-03-27 17:16:31.0","","0.0","","","241.93","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","003","2017-03-27 17:16:24.0","","0.0","","","241.76","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","002","2017-03-27 17:16:17.0","","0.0","","","240.88","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","084","2017-03-27 13:39:23.0","","0.0","","","223.14","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","083","2017-03-27 13:39:15.0","","0.0","","","222.79","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","082","2017-03-27 13:39:07.0","","0.0","","","221.41","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","081","2017-03-27 13:39:00.0","","0.0","","","220.36","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","080","2017-03-27 13:38:53.0","","0.0","","","219.89","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","079","2017-03-27 13:38:45.0","","0.0","","","219.34","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","078","2017-03-27 13:38:38.0","","0.0","","","220.83","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","077","2017-03-27 13:38:31.0","","0.0","","","219.86","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","076","2017-03-27 13:38:23.0","","0.0","","","219.75","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","075","2017-03-27 13:38:16.0","","0.0","","","220.8","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","074","2017-03-27 13:38:09.0","","0.0","","","221.5","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","073","2017-03-27 13:38:02.0","","0.0","","","220.39","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","072","2017-03-27 13:37:55.0","","0.0","","","216.47","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","071","2017-03-27 13:37:48.0","","0.0","","","216.68","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","070","2017-03-27 13:37:40.0","","0.0","","","215.57","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","069","2017-03-27 13:37:33.0","","0.0","","","216.33","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","068","2017-03-27 13:37:26.0","","0.0","","","217.09","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","067","2017-03-27 13:37:19.0","","0.0","","","222.29","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","066","2017-03-27 13:37:12.0","","0.0","","","221.79","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","065","2017-03-27 13:37:05.0","","0.0","","","220.68","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","064","2017-03-27 13:36:57.0","","0.0","","","219.8","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","063","2017-03-27 13:36:50.0","","0.0","","","222.58","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","062","2017-03-27 13:36:43.0","","0.0","","","222.41","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","061","2017-03-27 13:36:36.0","","0.0","","","220.45","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","060","2017-03-27 13:36:29.0","","0.0","","","222.64","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","059","2017-03-27 13:36:22.0","","0.0","","","220.94","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","058","2017-03-27 13:36:14.0","","0.0","","","222.79","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","057","2017-03-27 13:36:07.0","","0.0","","","222.03","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","056","2017-03-27 13:36:00.0","","0.0","","","223.34","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","055","2017-03-27 13:35:53.0","","0.0","","","220.89","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","054","2017-03-27 13:35:45.0","","0.0","","","220.24","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","053","2017-03-27 13:35:38.0","","0.0","","","221.85","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","052","2017-03-27 13:35:30.0","","0.0","","","222.32","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","051","2017-03-27 13:35:23.0","","0.0","","","220.56","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","DOOR OPEN","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","050","2017-03-27 13:35:16.0","","0.0","","","221.68","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","DOOR OPEN","","","MCB TRIP","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","049","2017-03-27 13:35:09.0","","0.0","","","221.0","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","DOOR OPEN","","","","","","","","",""
